var,source_dataset,n_total,n_observed,pct_observed,n_positive,n_zero,status,drop_reason,included_in_stable_set,analysis_role,notes
OSMGSYS,ASDB,6166,284,0.0460590334090172,284,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTBONSYS,ASDB,6166,3736,0.605903340901719,545,3191,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHCRSYS,ASDB,6166,3736,0.605903340901719,248,3488,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHIC,ASDB,6166,290,0.0470321115796302,0,0,dropped,low_obs;low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTHICBD,ASDB,6166,3736,0.605903340901719,1,3375,dropped,low_pos;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTHIMSYS,ASDB,6166,358,0.058060330846578,358,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTHISYS,ASDB,6166,3736,0.605903340901719,566,3170,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHLTSYS,ASDB,6166,3736,0.605903340901719,237,3499,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHTSYS,ASDB,6166,3736,0.605903340901719,746,2990,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTOTHSYS,ASDB,6166,3736,0.605903340901719,488,3248,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PAINSYS,ASDB,6166,3736,0.605903340901719,817,2919,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PALSYS,ASDB,6166,3736,0.605903340901719,829,2907,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PATEDHOS,ASDB,6166,3736,0.605903340901719,2015,1721,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PATRPSYS,ASDB,6166,3736,0.605903340901719,646,3090,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PCARDSYS,ASDB,6166,3736,0.605903340901719,652,3084,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PCASYS,ASDB,6166,3736,0.605903340901719,632,3104,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PCDEPSYS,ASDB,6166,3736,0.605903340901719,954,2782,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PCLABHOS,ASDB,6166,3736,0.605903340901719,154,3582,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PDISSYS,ASDB,6166,3736,0.605903340901719,739,2997,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PEDBD,ASDB,6166,3736,0.605903340901719,51,2817,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PEDCSHOS,ASDB,6166,3736,0.605903340901719,134,3602,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PEDEHOS,ASDB,6166,3736,0.605903340901719,159,3577,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PEDHOS,ASDB,6166,3736,0.605903340901719,1304,2432,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PEDICBD,ASDB,6166,3736,0.605903340901719,5,3445,dropped,low_pos;,False,masking; similarity; module_scoring,Screened out during variable filtering.
PEDICHOS,ASDB,6166,3736,0.605903340901719,338,3398,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PELABHOS,ASDB,6166,3736,0.605903340901719,140,3596,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PEMERSYS,ASDB,6166,3736,0.605903340901719,592,3144,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PETCTHOS,ASDB,6166,3736,0.605903340901719,904,2832,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PETSYS,ASDB,6166,3736,0.605903340901719,760,2976,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PHYSYS,ASDB,6166,378,0.0613039247486215,378,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
PPNSYS,ASDB,6166,3736,0.605903340901719,645,3091,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PPOSTSYS,ASDB,6166,3736,0.605903340901719,791,2945,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PSCISSYS,ASDB,6166,3736,0.605903340901719,234,3502,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PSPISYS,ASDB,6166,3736,0.605903340901719,758,2978,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PSSOCSYS,ASDB,6166,3736,0.605903340901719,636,3100,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PSYCASYS,ASDB,6166,3736,0.605903340901719,684,3052,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
