"var","source","n_total","n_observed","pct_observed","n_positive","n_zero","keep_obs","keep_pos","keep_zero","keep_all","status","drop_reason"
"ENDOEHOS","ASDB",6166,3736,0.605903340901719,1068,2668,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDORHOS","ASDB",6166,3736,0.605903340901719,1581,2155,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDOUHOS","ASDB",6166,3736,0.605903340901719,1461,2275,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENRSYS","ASDB",6166,3736,0.605903340901719,726,3010,TRUE,TRUE,TRUE,TRUE,"kept",""
"EPTLAB","ASDB",6166,6166,1,2907,3259,TRUE,TRUE,TRUE,TRUE,"kept",""
"EPTRAD","ASDB",6166,6166,1,2907,3259,TRUE,TRUE,TRUE,TRUE,"kept",""
"EQMODSYS","ASDB",6166,3736,0.605903340901719,24,3712,TRUE,TRUE,TRUE,TRUE,"kept",""
"ESWLSYS","ASDB",6166,3736,0.605903340901719,711,3025,TRUE,TRUE,TRUE,TRUE,"kept",""
"FFDMSYS","ASDB",6166,3736,0.605903340901719,753,2983,TRUE,TRUE,TRUE,TRUE,"kept",""
"FITCSYS","ASDB",6166,3736,0.605903340901719,751,2985,TRUE,TRUE,TRUE,TRUE,"kept",""
"FOUNDSYS","ASDB",6166,3736,0.605903340901719,137,3599,TRUE,TRUE,TRUE,TRUE,"kept",""
"FRTCSYS","ASDB",6166,3736,0.605903340901719,567,3169,TRUE,TRUE,TRUE,TRUE,"kept",""
"FSERSYS","ASDB",6166,3736,0.605903340901719,459,3277,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTECIC","ASDB",6166,1178,0.19104768083036,45,852,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"FTECLAB","ASDB",6166,6166,1,254,1107,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTECRAD","ASDB",6166,6166,1,151,1009,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTED","ASDB",6166,3117,0.505514109633474,210,1376,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTELAB","ASDB",6166,3117,0.505514109633474,113,594,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTERAD","ASDB",6166,3117,0.505514109633474,60,491,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTLAB","ASDB",6166,6166,1,355,1160,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTRAD","ASDB",6166,6166,1,253,1069,TRUE,TRUE,TRUE,TRUE,"kept",""
"GENSYS","ASDB",6166,3736,0.605903340901719,694,3042,TRUE,TRUE,TRUE,TRUE,"kept",""
"GERSVSYS","ASDB",6166,3736,0.605903340901719,879,2857,TRUE,TRUE,TRUE,TRUE,"kept",""
"GNTCSYS","ASDB",6166,3736,0.605903340901719,891,2845,TRUE,TRUE,TRUE,TRUE,"kept",""
"GPWWSYS","ASDB",6166,3736,0.605903340901719,42,3694,TRUE,TRUE,TRUE,TRUE,"kept",""
"HARTSYS","ASDB",6166,3736,0.605903340901719,501,3235,TRUE,TRUE,TRUE,TRUE,"kept",""
"HEMOSYS","ASDB",6166,3736,0.605903340901719,680,3056,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLINSYS","ASDB",6166,479,0.077684073953941,479,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"HLTHCSYS","ASDB",6166,3736,0.605903340901719,822,2914,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLTHFSYS","ASDB",6166,3736,0.605903340901719,840,2896,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLTHSSYS","ASDB",6166,3736,0.605903340901719,803,2933,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLTRSYS","ASDB",6166,3736,0.605903340901719,905,2831,TRUE,TRUE,TRUE,TRUE,"kept",""
"HOMEHSYS","ASDB",6166,3736,0.605903340901719,1165,2571,TRUE,TRUE,TRUE,TRUE,"kept",""
"HOMEPSYS","ASDB",6166,3736,0.605903340901719,292,3444,TRUE,TRUE,TRUE,TRUE,"kept",""
"HOSPBD","ASDB",6166,6166,1,0,2,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"HOSPCSYS","ASDB",6166,3736,0.605903340901719,991,2745,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICARSYS","ASDB",6166,3736,0.605903340901719,725,3011,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICFSYS","ASDB",6166,3736,0.605903340901719,392,3344,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICLABHOS","ASDB",6166,3736,0.605903340901719,1404,2332,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICUCHG","ASDB",6166,3132,0.507946805060006,142,2990,TRUE,TRUE,TRUE,TRUE,"kept",""
"IGRTSYS","ASDB",6166,3736,0.605903340901719,838,2898,TRUE,TRUE,TRUE,TRUE,"kept",""
"IMPRSYS","ASDB",6166,3736,0.605903340901719,853,2883,TRUE,TRUE,TRUE,TRUE,"kept",""
"IMRIHOS","ASDB",6166,3736,0.605903340901719,236,3500,TRUE,TRUE,TRUE,TRUE,"kept",""
"IMRTSYS","ASDB",6166,3736,0.605903340901719,832,2904,TRUE,TRUE,TRUE,TRUE,"kept",""
"IPALSYS","ASDB",6166,3736,0.605903340901719,426,3310,TRUE,TRUE,TRUE,TRUE,"kept",""
"IPASYS","ASDB",6166,3736,0.605903340901719,206,3530,TRUE,TRUE,TRUE,TRUE,"kept",""
"ISMSYS","ASDB",6166,3736,0.605903340901719,714,3022,TRUE,TRUE,TRUE,TRUE,"kept",""
"JNTCTR","ASDB",6166,863,0.139961076873175,239,624,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"KDNYSYS","ASDB",6166,3736,0.605903340901719,609,3127,TRUE,TRUE,TRUE,TRUE,"kept",""
"LABFTE","ASDB",6166,2613,0.423775543301979,264,1808,TRUE,TRUE,TRUE,TRUE,"kept",""
"LBEDLA","ASDB",6166,314,0.0509244242620824,0,0,FALSE,FALSE,FALSE,FALSE,"dropped","low_obs;low_pos;low_zero;"
"LBEDSA","ASDB",6166,3614,0.586117418099254,0,14,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"LGRPSYS","ASDB",6166,509,0.0825494648070062,509,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"LINGSYS","ASDB",6166,3736,0.605903340901719,599,3137,TRUE,TRUE,TRUE,TRUE,"kept",""
"LIVRSYS","ASDB",6166,3736,0.605903340901719,445,3291,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRCLI","ASDB",6166,2962,0.480376256892637,1045,1917,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRCNA","ASDB",6166,2962,0.480376256892637,1252,1710,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRNI","ASDB",6166,2962,0.480376256892637,566,2396,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRPSN","ASDB",6166,2962,0.480376256892637,1900,1062,TRUE,TRUE,TRUE,TRUE,"kept",""
"LUNGSYS","ASDB",6166,3736,0.605903340901719,306,3430,TRUE,TRUE,TRUE,TRUE,"kept",""
"MAMMSSYS","ASDB",6166,3736,0.605903340901719,743,2993,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEALSSYS","ASDB",6166,3736,0.605903340901719,292,3444,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDADN","ASDB",6166,126,0.0204346415828738,126,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"MEDHME","ASDB",6166,3113,0.504865390853065,616,2497,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDHSE","ASDB",6166,3048,0.494323710671424,1238,1810,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDOPHOS","ASDB",6166,3736,0.605903340901719,730,3006,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDSUBHOS","ASDB",6166,3736,0.605903340901719,619,3117,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEGSYS","ASDB",6166,3736,0.605903340901719,267,3469,TRUE,TRUE,TRUE,TRUE,"kept",""
"MMCSYS","ASDB",6166,392,0.0635744404800519,392,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"MOHSSYS","ASDB",6166,3736,0.605903340901719,776,2960,TRUE,TRUE,TRUE,TRUE,"kept",""
"MRIHOS","ASDB",6166,3736,0.605903340901719,2602,1134,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSCTGHOS","ASDB",6166,3736,0.605903340901719,2393,1343,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSCTHOS","ASDB",6166,3736,0.605903340901719,1751,1985,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSICBD","ASDB",6166,3736,0.605903340901719,10,1563,TRUE,FALSE,TRUE,FALSE,"dropped","low_pos;"
"MSICHOS","ASDB",6166,3736,0.605903340901719,2253,1483,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSOSYS","ASDB",6166,3736,0.605903340901719,100,3636,TRUE,TRUE,TRUE,TRUE,"kept",""
"NEROSYS","ASDB",6166,3736,0.605903340901719,801,2935,TRUE,TRUE,TRUE,TRUE,"kept",""
"NICSYS","ASDB",6166,3736,0.605903340901719,870,2866,TRUE,TRUE,TRUE,TRUE,"kept",""
"NINTSYS","ASDB",6166,3736,0.605903340901719,698,3038,TRUE,TRUE,TRUE,TRUE,"kept",""
"NUTRPSYS","ASDB",6166,3736,0.605903340901719,662,3074,TRUE,TRUE,TRUE,TRUE,"kept",""
"OBSYS","ASDB",6166,3736,0.605903340901719,857,2879,TRUE,TRUE,TRUE,TRUE,"kept",""
"OCCHSSYS","ASDB",6166,3736,0.605903340901719,829,2907,TRUE,TRUE,TRUE,TRUE,"kept",""
"ONCOLSYS","ASDB",6166,3736,0.605903340901719,851,2885,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPCENSYS","ASDB",6166,3736,0.605903340901719,887,2849,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPHOSSYS","ASDB",6166,3736,0.605903340901719,666,3070,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPHOSYS","ASDB",6166,3736,0.605903340901719,224,3512,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPSRGSYS","ASDB",6166,3736,0.605903340901719,635,3101,TRUE,TRUE,TRUE,TRUE,"kept",""
"ORPMSYS","ASDB",6166,3736,0.605903340901719,701,3035,TRUE,TRUE,TRUE,TRUE,"kept",""
"ORTOSYS","ASDB",6166,3736,0.605903340901719,718,3018,TRUE,TRUE,TRUE,TRUE,"kept",""
"OSMGSYS","ASDB",6166,284,0.0460590334090172,284,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"OTBONSYS","ASDB",6166,3736,0.605903340901719,545,3191,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHCRSYS","ASDB",6166,3736,0.605903340901719,248,3488,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHIC","ASDB",6166,290,0.0470321115796302,0,0,FALSE,FALSE,FALSE,FALSE,"dropped","low_obs;low_pos;low_zero;"
"OTHICBD","ASDB",6166,3736,0.605903340901719,1,3375,TRUE,FALSE,TRUE,FALSE,"dropped","low_pos;"
"OTHIMSYS","ASDB",6166,358,0.058060330846578,358,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"OTHISYS","ASDB",6166,3736,0.605903340901719,566,3170,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHLTSYS","ASDB",6166,3736,0.605903340901719,237,3499,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHTSYS","ASDB",6166,3736,0.605903340901719,746,2990,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTOTHSYS","ASDB",6166,3736,0.605903340901719,488,3248,TRUE,TRUE,TRUE,TRUE,"kept",""
"PAINSYS","ASDB",6166,3736,0.605903340901719,817,2919,TRUE,TRUE,TRUE,TRUE,"kept",""
"PALSYS","ASDB",6166,3736,0.605903340901719,829,2907,TRUE,TRUE,TRUE,TRUE,"kept",""
"PATEDHOS","ASDB",6166,3736,0.605903340901719,2015,1721,TRUE,TRUE,TRUE,TRUE,"kept",""
"PATRPSYS","ASDB",6166,3736,0.605903340901719,646,3090,TRUE,TRUE,TRUE,TRUE,"kept",""
"PCARDSYS","ASDB",6166,3736,0.605903340901719,652,3084,TRUE,TRUE,TRUE,TRUE,"kept",""
"PCASYS","ASDB",6166,3736,0.605903340901719,632,3104,TRUE,TRUE,TRUE,TRUE,"kept",""
"PCDEPSYS","ASDB",6166,3736,0.605903340901719,954,2782,TRUE,TRUE,TRUE,TRUE,"kept",""
"PCLABHOS","ASDB",6166,3736,0.605903340901719,154,3582,TRUE,TRUE,TRUE,TRUE,"kept",""
"PDISSYS","ASDB",6166,3736,0.605903340901719,739,2997,TRUE,TRUE,TRUE,TRUE,"kept",""
"PEDBD","ASDB",6166,3736,0.605903340901719,51,2817,TRUE,TRUE,TRUE,TRUE,"kept",""
"PEDCSHOS","ASDB",6166,3736,0.605903340901719,134,3602,TRUE,TRUE,TRUE,TRUE,"kept",""
"PEDEHOS","ASDB",6166,3736,0.605903340901719,159,3577,TRUE,TRUE,TRUE,TRUE,"kept",""
