"var","source","n_total","n_observed","pct_observed","n_positive","n_zero"
"TOBSYS","ASDB",6166,3736,0.605903340901719,797,2939
"TPORTSYS","ASDB",6166,3736,0.605903340901719,570,3166
"TRAUMSYS","ASDB",6166,3736,0.605903340901719,701,3035
"ULTSNHOS","ASDB",6166,3736,0.605903340901719,3053,683
"URGCCSYS","ASDB",6166,3736,0.605903340901719,1100,2636
"VCMMSYS","ASDB",6166,3736,0.605903340901719,632,3104
"VLAB","ASDB",6166,2654,0.430424910801168,346,1356
"VOLSVSYS","ASDB",6166,3736,0.605903340901719,641,3095
"VRAD","ASDB",6166,2654,0.430424910801168,290,1154
"VRCSSYS","ASDB",6166,3736,0.605903340901719,629,3107
"VWRKSYS","ASDB",6166,3736,0.605903340901719,643,3093
"WMGTSYS","ASDB",6166,3736,0.605903340901719,734,3002
"WOMHCSYS","ASDB",6166,3736,0.605903340901719,846,2890
"ADCOST","IT",6166,2700,0.437885176775868,629,0
"AIBILL","IT",6166,1952,0.316574764839442,673,1279
"AICLOTH","IT",6166,1952,0.316574764839442,580,1372
"AICLOTH_DESC","IT",6166,3110,0.504378851767759,0,0
"AIDNK","IT",6166,1952,0.316574764839442,2,1950
"AIMHEA","IT",6166,1952,0.316574764839442,649,1303
"AINOTA","IT",6166,1952,0.316574764839442,13,1939
"AIPOTH","IT",6166,1952,0.316574764839442,465,1487
"AIPOTH_DESC","IT",6166,3110,0.504378851767759,0,0
"AIPRED","IT",6166,2913,0.472429451832631,1092,0
"AIRECT","IT",6166,1952,0.316574764839442,830,1122
"AIRFOL","IT",6166,1952,0.316574764839442,1611,341
"AISCHE","IT",6166,1952,0.316574764839442,903,1049
"AITRAJ","IT",6166,1952,0.316574764839442,1815,137
"AMICDK","IT",6166,2813,0.456211482322413,720,2093
"AMICEHR","IT",6166,2813,0.456211482322413,724,2089
"AMICFF","IT",6166,2813,0.456211482322413,360,2453
"AMICHIE","IT",6166,2813,0.456211482322413,183,2630
"AMICNES","IT",6166,2813,0.456211482322413,491,2322
"AMICPS","IT",6166,2813,0.456211482322413,630,2183
"ATEFCA","IT",6166,2989,0.484755108660396,2290,699
"CDRDK","IT",6166,2861,0.463996107687318,485,2376
"CDREHR","IT",6166,2861,0.463996107687318,1214,1647
"CDRFF","IT",6166,2861,0.463996107687318,473,2388
"CDRHIE","IT",6166,2861,0.463996107687318,282,2579
"CDRNES","IT",6166,2861,0.463996107687318,450,2411
"CDRPS","IT",6166,2861,0.463996107687318,593,2268
"CIAOUT","IT",6166,2986,0.484268569575089,2237,0
"CNTRTCST","IT",6166,2643,0.428640934155044,394,0
"COMPCDR","IT",6166,1144,0.185533571196886,534,610
"COSTCDR","IT",6166,768,0.124554005838469,486,282
"COSTECR","IT",6166,768,0.124554005838469,494,274
"COSTERL","IT",6166,768,0.124554005838469,375,393
"COSTIRR","IT",6166,768,0.124554005838469,381,387
"COSTPHR","IT",6166,768,0.124554005838469,503,265
"COSTSSR","IT",6166,768,0.124554005838469,447,321
"CUSTINT","IT",6166,2675,0.433830684398313,727,0
"DNEXCDR","IT",6166,1058,0.171586117418099,622,436
"ECRHIE","IT",6166,2904,0.470969834576711,341,2563
"ECRNES","IT",6166,2904,0.470969834576711,518,2386
"EQUERY","IT",6166,2901,0.470483295491404,2185,716
"ERLHIE","IT",6166,2919,0.473402530003244,513,2406
"ERLNES","IT",6166,2919,0.473402530003244,116,2803
"HCUHIE","IT",6166,2852,0.462536490431398,114,2738
"HCUNES","IT",6166,2852,0.462536490431398,350,2502
"IIRHIE","IT",6166,2946,0.477781381771002,609,2337
"IIRNES","IT",6166,2946,0.477781381771002,75,2871
